date,datasets_published,files_published
2019-04,447,
2019-05,453,
2019-06,453,
2019-07,453,
2019-08,455,15
2019-09,456,44
2019-10,457,48
2019-11,457,51
2019-12,457,51
2020-01,459,56
2020-02,459,56
2020-03,460,57
2020-04,1022,94
2020-05,1023,115
2020-06,1028,125
2020-07,1030,129
2020-08,1031,135
2020-09,1034,168
2020-10,1034,168
2020-11,1039,294
2020-12,1040,350
2021-01,1040,627
2021-02,1041,975
2021-03,1060,1077
2021-04,1066,1307
2021-05,1079,1800
2021-06,1079,1862
2021-07,1081,1974
2021-08,1083,2019
2021-09,1100,2266
2021-10,1136,5241
2021-11,1196,5862
2021-12,1200,5948
2022-01,1203,6038
2022-02,1203,6065
2022-03,1203,6075
2022-04,1204,6084
2022-05,1215,6662
2022-06,1219,13181
2022-07,1235,13218
2022-08,1238,13252
2022-09,1239,13286
2022-10,1243,22020
2022-11,1245,22046
2022-12,1278,22853
2023-01,1278,22894
2023-02,1284,31913
2023-03,1297,32080
2023-04,1301,34892
2023-05,1303,34927
2023-06,1303,35102
2023-07,1304,36173
2023-08,1306,36179
2023-09,1306,36179
2023-10,1307,36180
2023-11,1307,36180
2023-12,1308,36203
2024-01,1308,36226
2024-02,1310,36279
2024-03,1311,36311
2024-04,1316,36352
2024-05,1317,36400